Source, Target, Type, Weight
6354, 6439, Directed, 1.0
6439, 702, Directed, 1.0
702, 60, Directed, 1.0
60, 2145, Directed, 1.0
2145, 91, Directed, 1.0
91, 6443, Directed, 1.0
6443, 106, Directed, 1.0
106, 9, Directed, 1.0
9, 551, Directed, 1.0
551, 742, Directed, 1.0
742, 62, Directed, 1.0
62, 676, Directed, 1.0
676, 24, Directed, 1.0
24, 48, Directed, 1.0
48, 61, Directed, 1.0
61, 113, Directed, 1.0
113, 710, Directed, 1.0
710, 1626, Directed, 1.0
1626, 6445, Directed, 1.0
6445, 464, Directed, 1.0
464, 60, Directed, 1.0
60, 105, Directed, 1.0
105, 166, Directed, 1.0
166, 4148, Directed, 1.0
4148, 62, Directed, 1.0
62, 751, Directed, 1.0
751, 630, Directed, 1.0
630, 49, Directed, 1.0
49, 269, Directed, 1.0
269, 6437, Directed, 1.0
6437, 227, Directed, 1.0
227, 60, Directed, 1.0
60, 1912, Directed, 1.0
1912, 6436, Directed, 1.0
6436, 61, Directed, 1.0
61, 1729, Directed, 1.0
1729, 530, Directed, 1.0
530, 499, Directed, 1.0
499, 74, Directed, 1.0
74, 751, Directed, 1.0
751, 630, Directed, 1.0
630, 41, Directed, 1.0
41, 113, Directed, 1.0
113, 281, Directed, 1.0
281, 1626, Directed, 1.0
1626, 123, Directed, 1.0
123, 61, Directed, 1.0
61, 742, Directed, 1.0
742, 828, Directed, 1.0
828, 61, Directed, 1.0
61, 113, Directed, 1.0
113, 710, Directed, 1.0
710, 1626, Directed, 1.0
1626, 6445, Directed, 1.0
6445, 464, Directed, 1.0
464, 60, Directed, 1.0
60, 268, Directed, 1.0
268, 1102, Directed, 1.0
1102, 113, Directed, 1.0
113, 197, Directed, 1.0
197, 62, Directed, 1.0
62, 751, Directed, 1.0
751, 630, Directed, 1.0
630, 123, Directed, 1.0
123, 0, Directed, 1.0
0, 1985, Directed, 1.0
1985, 74, Directed, 1.0
74, 41, Directed, 1.0
41, 102, Directed, 1.0
102, 1598, Directed, 1.0
1598, 6432, Directed, 1.0
6432, 4260, Directed, 1.0
4260, 117, Directed, 1.0
117, 197, Directed, 1.0
197, 62, Directed, 1.0
62, 154, Directed, 1.0
154, 462, Directed, 1.0
462, 1838, Directed, 1.0
1838, 74, Directed, 1.0
74, 377, Directed, 1.0
377, 60, Directed, 1.0
60, 6431, Directed, 1.0
6431, 3449, Directed, 1.0
