id,Label,tf,df,tdf
823,beibeik,17,1,17
824,manuál,4,1,4
825,meza,5,1,5
826,karik,49,1,49
827,armáriu,2,1,2
828,anacleto,3,1,3
829,vemasse,1,1,1
830,grave,12,1,12
831,kondisaun,98,1,98
832,seidauk,139,1,139
833,koordenadór,23,1,23
834,edukasaun,40,1,40
835,entrevista,9,1,9
836,aula,48,1,48
837,permanente,10,1,10
838,osoala,2,1,2
839,ativu,33,1,33
840,laiha,110,1,110
841,aidaba-leten,1,1,1
842,asesu,93,1,93
843,kordena,2,1,2
844,lino,11,1,11
845,kanalizasaun,8,1,8
846,tarefa,2,1,2
847,f-fdtl,68,1,68
848,harame,3,1,3
849,tanke,8,1,8
850,pakote,8,1,8
851,enjeñaria,11,1,11
852,hola,16,1,16
853,tavares,2,1,2
854,desizivu,1,1,1
855,ezersísiu,12,1,12
856,torneira,1,1,1
857,moldajen,1,1,1
858,kapitaun,4,1,4
859,gregorio,1,1,1
860,defeza,51,1,51
861,ámbitu,11,1,11
862,falintil-forsa,10,1,10
863,sustentasaun,1,1,1
864,bee-moos,55,1,55
865,cobra,3,1,3
866,kompleta,33,1,33
867,josé,46,1,46
868,progresu,16,1,16
869,konstitusionál,7,1,7
870,presiza,114,1,114
871,i,11,1,11
872,prontu,17,1,17
873,fundu,47,1,47
874,sosializasaun,8,1,8
875,sosiál,69,1,69
876,transferénsia,11,1,11
877,dnpdml,1,1,1
878,rekomenda,22,1,22
879,média,1,1,1
880,informasaun,92,1,92
881,utiliza,30,1,30
882,ezisténsia,7,1,7
883,responde,18,1,18
884,mudansa,11,1,11
885,asosiasaun,17,1,17
886,rádiu,25,1,25
887,konsidera,37,1,37
888,komunikasaun,45,1,45
889,responsabilidade,20,1,20
890,kestaun,7,1,7
891,eziste,11,1,11
892,lívia,1,1,1
893,rodrigues,4,1,4
894,sesta-feira,2,1,2
895,ezije,9,1,9
896,programasaun,1,1,1
897,loloos,35,1,35
898,eis,4,1,4
899,reestruturasaun,3,1,3
900,divulga,44,1,44
901,hadi'a,5,1,5
902,sekretária,6,1,6
903,domingos,14,1,14
904,kria,36,1,36
905,estrutura,9,1,9
906,realsa,6,1,6
907,sekoms,29,1,29
908,reestrutura,1,1,1
909,media,2,1,2
910,konfinamentu,38,1,38
911,konklui,6,1,6
912,maske,34,1,34
913,delta,47,1,47
914,ami-nia,45,1,45
915,multimedia,3,1,3
916,felisita,2,1,2
917,formandu,7,1,7
918,nova,11,1,11
919,mapkoms,11,1,11
920,atribui,11,1,11
921,agradesimentu,24,1,24
922,difisil,5,1,5
923,fahe,44,1,44
924,romaldo,2,1,2
925,kursu,9,1,9
926,fransisco,1,1,1
927,ita-boot,44,1,44
928,protokolu,13,1,13
929,ceftec,3,1,3
930,tebe-tebes,3,1,3
931,marka,36,1,36
932,serka,60,1,60
933,akara,23,1,23
934,terenu,17,1,17
935,nivel,4,1,4
936,televizaun,6,1,6
937,sufisiente,25,1,25
938,esperansa,9,1,9
939,merício,12,1,12
940,rohan,6,1,6
941,saida,38,1,38
942,antónio,25,1,25
943,hakerek,6,1,6
944,martinho,2,1,2
945,jerónimo,9,1,9
946,amaral,9,1,9
947,lian,19,1,19
948,imprensa,118,1,118
949,jornalizmu,5,1,5
950,diskursu,27,1,27
951,agradese,36,1,36
952,pereira,18,1,18
953,sanitária,62,1,62
954,parlamentár,10,1,10
955,halakon,8,1,8
956,partisipa,72,1,72
957,aprende,19,1,19
958,martins,16,1,16
959,relasaun,13,1,13
960,impoin,20,1,20
961,obrigatóriu,21,1,21
962,munisipál,23,1,23
963,asuntu,54,1,54
964,esklarese,5,1,5
965,nível,23,1,23
966,krize,54,1,54
967,sentrál,27,1,27
968,oráriu,7,1,7
969,reitór,32,1,32
970,igreja,31,1,31
971,universidade,52,1,52
972,bekora,31,1,31
973,inan-aman,35,1,35
974,sagrado,2,1,2
975,untl,77,1,77
976,conven,1,1,1
977,baxarelatu,2,1,2
978,graduasaun,42,1,42
979,posibilidade,16,1,16
980,determina,11,1,11
981,fixu,2,1,2
982,misa,6,1,6
983,merkadu-lama,1,1,1
984,kalendáriu,3,1,3
985,lisensiatura,2,1,2
986,es,11,1,11
987,graduadu,19,1,19
988,kandidatu,29,1,29
989,cora,2,1,2
990,hera,15,1,15
991,dala-xxv,3,1,3
992,ccd,5,1,5
993,akadémiku,13,1,13
994,centro,9,1,9
995,kampus,15,1,15
996,lorosa’e,28,1,28
997,data,18,1,18
998,rua,154,1,154
999,estv,5,1,5
1000,vise,79,1,79
1001,dadus,39,1,39
1002,esj,3,1,3
1003,observa,23,1,23
1004,mahunu,2,1,2
1005,bukar,2,1,2
1006,juventude,29,1,29
1007,apresiasaun,9,1,9
1008,manatutu,25,1,25
1009,favorável,3,1,3
1010,vokasionál,2,1,2
1011,realizasaun,3,1,3
1012,santo,2,1,2
1013,letivu,3,1,3
1014,rala,10,1,10
1015,mejd,11,1,11
1016,kay,10,1,10
1017,vila,10,1,10
1018,ezame,30,1,30
1019,difikuldade,13,1,13
1020,di'ak,13,1,13
1021,umanitária,15,1,15
1022,saturnino,1,1,1
1023,alta,6,1,6
1024,manuel,15,1,15
1025,sanulu,11,1,11
1026,difikulta,19,1,19
1027,aliadu,2,1,2
1028,vasinasaun,90,1,90
1029,leolima,2,1,2
