Source, Target,Type,Weight
regra, ne’e,Directed,1
ne’e, haktuir,Directed,1
haktuir, katak,Directed,1
katak, bele,Directed,1
bele, loke,Directed,1
loke, nafatin,Directed,1
nafatin, durante,Directed,1
durante, lockdown,Directed,1
lockdown, maibé,Directed,1
maibé, labele,Directed,1
labele, hán,Directed,1
hán, iha,Directed,1
iha, restaurante,Directed,1
restaurante, tenke,Directed,1
tenke, lori,Directed,1
lori, hahán,Directed,1
hahán, ba,Directed,1
ba, uma,Directed,1
uma, de’it,Directed,1
de’it, dili,Directed,1
dili, marsu,Directed,1
marsu, koordenadór,Directed,1
koordenadór, forsa-tarefa,Directed,1
forsa-tarefa, ba,Directed,1
ba, prevensaun,Directed,1
prevensaun, no,Directed,1
no, mitigasaun,Directed,1
mitigasaun, surtu,Directed,1
surtu, covid,Directed,1
covid, rui,Directed,1
rui, maria,Directed,1
maria, de,Directed,1
de, araújo,Directed,1
araújo, informa,Directed,1
informa, ohin,Directed,1
ohin, iha,Directed,1
iha, ccd,Directed,1
ccd, katak,Directed,1
katak, rejista,Directed,1
rejista, tan,Directed,1
tan, kazu,Directed,1
kazu, pozitivu,Directed,1
pozitivu, foun,Directed,1
foun, ne’ebé,Directed,1
ne’ebé, kazu,Directed,1
kazu, rezjista,Directed,1
rezjista, iha,Directed,1
iha, kapitál,Directed,1
kapitál, dili,Directed,1
dili, no,Directed,1
no, kazu,Directed,1
kazu, rejista,Directed,1
rejista, iha,Directed,1
iha, baucau,Directed,1
baucau, nian,Directed,1
nian, ida,Directed,1
ida, hosi,Directed,1
hosi, pasiente,Directed,1
pasiente, pozitivu,Directed,1
pozitivu, covid,Directed,1
covid, nain,Directed,1
nain, rua,Directed,1
rua, ne’ebé,Directed,1
ne’ebé, rejista,Directed,1
rejista, iha,Directed,1
iha, baucau,Directed,1
baucau, mak,Directed,1
mak, estudante,Directed,1
estudante, ida,Directed,1
ida, hosi,Directed,1
hosi, instituto,Directed,1
instituto, ciências,Directed,1
ciências, de,Directed,1
de, saúde,Directed,1
saúde, ics,Directed,1
ics, ne’ebé,Directed,1
ne’ebé, sai,Directed,1
sai, hosi,Directed,1
hosi, dili,Directed,1
dili, iha,Directed,1
iha, loron,Directed,1
loron, marsu,Directed,1
marsu, loron,Directed,1
loron, ida,Directed,1
ida, antes,Directed,1
antes, lockdown,Directed,1
lockdown, ka,Directed,1
ka, konfinamentu,Directed,1
konfinamentu, serka,Directed,1
serka, sanitária,Directed,1
sanitária, ne’ebé,Directed,1
ne’ebé, governu,Directed,1
governu, implementa,Directed,1
implementa, iha,Directed,1
iha, dili,Directed,1
dili, iha,Directed,1
iha, loron,Directed,1
loron, marsu,Directed,1
marsu, sira,Directed,1
sira, nain,Directed,1
nain, rua,Directed,1
rua, ne’ebé,Directed,1
ne’ebé, pozitivu,Directed,1
pozitivu, iha,Directed,1
iha, baucau,Directed,1
baucau, mak,Directed,1
mak, estudante,Directed,1
estudante, ida,Directed,1
ida, ema,Directed,1
ema, baucau,Directed,1
baucau, duni,Directed,1
duni, estuda,Directed,1
estuda, iha,Directed,1
iha, instituto,Directed,1
instituto, ciências,Directed,1
ciências, de,Directed,1
de, saúde,Directed,1
saúde, iha,Directed,1
iha, baucau,Directed,1
baucau, nia,Directed,1
nia, hela,Directed,1
hela, iha,Directed,1
iha, aldeia,Directed,1
aldeia, kaibuilale,Directed,1
kaibuilale, suku,Directed,1
suku, kaibada,Directed,1
kaibada, baukau,Directed,1
baukau, villa,Directed,1
villa, iha,Directed,1
iha, dili,Directed,1
dili, nia,Directed,1
nia, hela,Directed,1
hela, iha,Directed,1
iha, aldeia,Directed,1
aldeia, fomento,Directed,1
fomento, iii,Directed,1
iii, suku,Directed,1
suku, kumoro,Directed,1
kumoro, kazu,Directed,1
kazu, pozitivu,Directed,1
pozitivu, ne’e,Directed,1
ne’e, nia,Directed,1
nia, sai,Directed,1
sai, hosi,Directed,1
hosi, dili,Directed,1
dili, ba,Directed,1
ba, baucau,Directed,1
baucau, iha,Directed,1
iha, dia,Directed,1
dia, marsu,Directed,1
marsu, sae,Directed,1
sae, mikrolet,Directed,1
mikrolet, ida,Directed,1
ida, ho,Directed,1
ho, ema,Directed,1
ema, lubuk,Directed,1
lubuk, ida,Directed,1
ida, esplika,Directed,1
esplika, rui,Directed,1
rui, araujo,Directed,1
araujo, liuhosi,Directed,1
liuhosi, konferénsia,Directed,1
konferénsia, imprensa,Directed,1
imprensa, nia,Directed,1
nia, informa,Directed,1
informa, mós,Directed,1
mós, katak,Directed,1
katak, pasiente,Directed,1
pasiente, ne’e,Directed,1
ne’e, iha,Directed,1
iha, dili,Directed,1
dili, hela,Directed,1
hela, ho,Directed,1
ho, nia,Directed,1
nia, família,Directed,1
família, rasik,Directed,1
rasik, no,Directed,1
no, ema,Directed,1
ema, ida,Directed,1
ida, iha,Directed,1
iha, família,Directed,1
família, ne’e,Directed,1
ne’e, iha,Directed,1
iha, kontaktu,Directed,1
kontaktu, besik,Directed,1
besik, mós,Directed,1
mós, ho,Directed,1
ho, ema,Directed,1
ema, balu,Directed,1
balu, ne’ebé,Directed,1
ne’ebé, pozitivu,Directed,1
pozitivu, tiha,Directed,1
tiha, ona,Directed,1
ona, hosi,Directed,1
hosi, aldeia,Directed,1
aldeia, de,Directed,1
de, setembro,Directed,1
setembro, tasi-tolu,Directed,1
tasi-tolu, dili,Directed,1
dili, dili,Directed,1
dili, marsu,Directed,1
marsu, governu,Directed,1
governu, liuhosi,Directed,1
liuhosi, reuniaun,Directed,1
reuniaun, konsellu,Directed,1
konsellu, ministru,Directed,1
ministru, ohin,Directed,1
ohin, iha,Directed,1
iha, ministériu,Directed,1
ministériu, finansas,Directed,1
finansas, dili,Directed,1
dili, aprova,Directed,1
aprova, projetu,Directed,1
projetu, rezolusaun,Directed,1
rezolusaun, ba,Directed,1
ba, estensaun,Directed,1
estensaun, serka,Directed,1
serka, sanitária,Directed,1
sanitária, iha,Directed,1
iha, dili,Directed,1
dili, to’o,Directed,1
to’o, iha,Directed,1
iha, loron,Directed,1
loron, fulan-abril,Directed,1
fulan-abril, tinan,Directed,1
tinan, dezisaun,Directed,1
dezisaun, ne’e,Directed,1
ne’e, konsellu,Directed,1
konsellu, ministru,Directed,1
ministru, foti,Directed,1
foti, hafoin,Directed,1
hafoin, halo,Directed,1
halo, análize,Directed,1
análize, ba,Directed,1
ba, aprezentasaun,Directed,1
aprezentasaun, husi,Directed,1
husi, koordenadór,Directed,1
koordenadór, sira,Directed,1
sira, husi,Directed,1
husi, sentru,Directed,1
sentru, integradu,Directed,1
integradu, jestaun,Directed,1
jestaun, krize,Directed,1
krize, kona-ba,Directed,1
kona-ba, pontu,Directed,1
pontu, situasaun,Directed,1
situasaun, epidemiolójiká,Directed,1
epidemiolójiká, iha,Directed,1
iha, timor-leste,Directed,1
timor-leste, rezolusaun,Directed,1
rezolusaun, governu,Directed,1
governu, nian,Directed,1
nian, mantein,Directed,1
mantein, impozisaun,Directed,1
impozisaun, serka,Directed,1
serka, sanitaria,Directed,1
sanitaria, ne’ebé,Directed,1
ne’ebé, implementa,Directed,1
implementa, ona,Directed,1
ona, iha,Directed,1
iha, konfinamentu,Directed,1
konfinamentu, faze,Directed,1
faze, dahuluk,Directed,1
dahuluk, liu-liu,Directed,1
liu-liu, konfinamentu,Directed,1
konfinamentu, domisiliáriu,Directed,1
domisiliáriu, jerál,Directed,1
jerál, ba,Directed,1
ba, ema,Directed,1
ema, hotu,Directed,1
hotu, ne’ebé,Directed,1
ne’ebé, mak,Directed,1
mak, oras,Directed,1
oras, ne’e,Directed,1
ne’e, daudaun,Directed,1
daudaun, hela,Directed,1
hela, iha,Directed,1
iha, munisípiu,Directed,1
munisípiu, dili,Directed,1
dili, ne’ebé,Directed,1
ne’ebé, kontinua,Directed,1
kontinua, hela,Directed,1
hela, iha,Directed,1
iha, sira,Directed,1
sira, nia,Directed,1
nia, uma,Directed,1
uma, ka,Directed,1
ka, iha,Directed,1
iha, sira,Directed,1
sira, nia,Directed,1
nia, alojamentu,Directed,1
