komandu, polísia
polísia, manufahi
manufahi, atu
atu, ba
ba, tula
tula, sasán
sasán, loja
loja, nian
nian, iha
iha, aileu
aileu, dili
dili, marsu
marsu, relasiona
relasiona, ho
ho, eiz
eiz, primeiru-ministru
primeiru-ministru, pm
pm, marí
marí, alkatiri
alkatiri, nia
nia, lamentasaun
lamentasaun, katak
katak, governu
governu, no
no, estadu
estadu, nonook
nonook, de’it
de’it, ba
ba, situsaun
situsaun, atuál
atuál, iha
iha, timor-leste
timor-leste, ne’ebé
ne’ebé, enfrenta
enfrenta, hela
hela, pandemia
pandemia, covid
covid, no
no, kazu
kazu, mós
mós, aumenta
aumenta, maibé
maibé, parte
parte, balu
balu, nafatin
nafatin, la
la, kumpri
kumpri, regra
regra, serka
serka, sanitária
sanitária, pm
pm, taur
taur, matan
matan, ruak
ruak, responde
responde, katak
katak, importante
importante, liu
liu, mak
mak, ema
ema, hotu-hotu
hotu-hotu, tenke
tenke, kalma
kalma, tanba
tanba, xave
xave, atu
atu, rezolve
rezolve, situasaun
situasaun, atuál
atuál, iha
iha, timor-leste
timor-leste, mak
mak, komportamentu
komportamentu, no
no, vasina
vasina, tenke
tenke, kalma
kalma, ne’e
ne’e, importante
importante, loos
loos, ita
ita, bele
bele, ko’alia
ko’alia, to’o
to’o, iha
iha, ne’ebé
ne’ebé, de’it
de’it, mós
mós, xave
xave, iha
iha, buat
buat, rua
rua, de’it
de’it, ida
ida, ita-nia
ita-nia, komportamentu
komportamentu, ida
ida, mak
mak, vasina
vasina, ita
ita, la
la, halo
halo, milagre
milagre, vasina
vasina, seidauk
seidauk, iha
iha, presiza
presiza, ema
ema, nia
nia, komportamentu
komportamentu, taka
taka, ibun
ibun, uza
uza, máskara
máskara, fase
fase, liman
liman, labele
labele, halibur
halibur, malu
malu, kuandu
kuandu, moras
moras, ona
ona, informa
informa, lalais
lalais, ba
ba, saúde
saúde, liu
liu, ida
ida, ne’e
ne’e, laiha
laiha, dehan
dehan, pm
pm, taur
taur, hafoin
hafoin, hasoru
hasoru, malu
malu, ho
ho, prezidente
prezidente, repúblika
repúblika, francisco
francisco, guterres
guterres, lú
lú, olo
olo, iha
iha, kuarta
kuarta, ne’e
ne’e, iha
iha, palásiu
palásiu, prezidensiál
prezidensiál, dili
dili, dili
dili, marsu
marsu, diretór
diretór, edukasaun
edukasaun, munisípiu
munisípiu, manufahi
manufahi, trinito
trinito, sarmento
sarmento, informa
informa, ohin
ohin, iha
iha, manufahi
manufahi, katak
katak, governu
governu, sei
sei, oferese
oferese, bolsu
bolsu, estudu
estudu, ba
ba, família
família, kbiit-laek
kbiit-laek, nia
nia, oan
oan, hamutuk
hamutuk, na’in
na’in, ne’ebé
ne’ebé, remata
remata, ona
ona, estudu
estudu, nível
nível, sekundáriu
sekundáriu, iha
iha, tinan
tinan, no
no, maibé
maibé, la
la, kontinua
kontinua, estudu
estudu, ba
ba, nível
nível, ensinu
ensinu, superiór
superiór, tanba
tanba, família
família, laiha
laiha, kbiit
kbiit, atu
atu, haforsa
haforsa, trinito
trinito, esplika
esplika, bolsu
bolsu, estudu
estudu, ne’e
ne’e, governu
governu, oferese
oferese, liuhosi
liuhosi, fundu
fundu, dezenvolvimentu
dezenvolvimentu, kapitál
kapitál, umanu
umanu, sigla
sigla, portugés
portugés, fdch
fdch, ho
ho, programa
programa, hakbiit
hakbiit, atu
atu, kbiit-laek
kbiit-laek, nia
nia, oan
oan, hirak
hirak, ne’e
ne’e, bele
bele, kontinua
kontinua, hikas
hikas, estudu
estudu, iha
iha, nível
nível, ensinu
ensinu, superiór
superiór, nia
nia, dehan
dehan, katak
katak, sirkulár
sirkulár, hosi
hosi, governu
governu, sentrál
sentrál, ba
ba, bolsu
bolsu, estudu
estudu, ne’e
ne’e, distribui
distribui, ona
ona, ba
ba, xefe
xefe, suku
suku, iha
iha, munisípiu
munisípiu, manufahi
manufahi, hodi
hodi, identifika
identifika, família
família, kbiit-laek
kbiit-laek, sira-nia
sira-nia, ona
ona, kada
kada, suku
suku, benefisiáriu
benefisiáriu, ema
ema, na’in
na’in, rua
rua, ne’ebé
ne’ebé, finaliza
finaliza, ona
ona, sira-nia
sira-nia, estudu
estudu, iha
iha, nível
nível, sekundáriu
sekundáriu, maibé
maibé, seidauk
seidauk, kontinua
kontinua, ba
ba, nível
nível, ensinu
ensinu, superiór
superiór, nune’e
nune’e, no
no, finalista
finalista, sira
sira, ne’ebé
ne’ebé, mak
mak, daudauk
daudauk, ne’e
ne’e, rejista
rejista, ona
ona, iha
iha, edukasaun
edukasaun, munisipál
munisipál, ho
ho, totál
totál, kandidatu
kandidatu, benefisiáriu
benefisiáriu, ema
ema, na’in
na’in, ne’e
ne’e, duni
duni, daudauk
daudauk, ne’e
ne’e, ekipa
ekipa, verifikasaun
verifikasaun, verifika
verifika, hela
hela, dokumentu
dokumentu, hosi
hosi, kandidatu
kandidatu, na’in
na’in, ba
ba, bolsu
bolsu, estudu
estudu, refere
refere, hodi
hodi, hein
hein, ekipa
ekipa, fdch
fdch, re-verifika
re-verifika, hikas
hikas, atu
atu, bele
bele, deside
deside, ka
ka, selesiona
selesiona, na’in
na’in, ne’ebé
ne’ebé, merese
merese, duni
duni, atu
atu, hetan
hetan, bolsu
bolsu, estudu
estudu, refere
refere, dili
dili, marsu
marsu, ministériu
ministériu, negósiu
negósiu, estranjeiru
estranjeiru, no
no, kooperasaun
kooperasaun, mnek
mnek, haktuir
haktuir, iha
iha, komunikadu
komunikadu, imprensa
imprensa, ne’ebé
ne’ebé, divulga
divulga, ohin
ohin, katak
katak, iha
iha, sexta
sexta, liubá
liubá, parte
parte, mnek
mnek, no
no, ministériu
ministériu, finansa
finansa, mf
mf, halo
halo, ona
ona, transferénsia
transferénsia, pagamentu
pagamentu, renda
renda, tinan
tinan, nian
nian, ba
ba, embaixada
embaixada, no
no, konsuladu
konsuladu, sira
sira, iha
iha, rai-li’ur
rai-li’ur, hamutuk
hamutuk, ruanulu
ruanulu, no
no, mós
mós, halo
halo, ona
ona, transferénsia
transferénsia, pagamentu
pagamentu, kustu
kustu, operasionál
operasionál, períodu
períodu, janeiru
janeiru, to’o
to’o, juñu
juñu, ba
ba, embaixada
embaixada, no
no, konsuladu
konsuladu, sira
sira, iha
iha, rai-li’ur
rai-li’ur, hamutuk
hamutuk, lima
lima, totál
totál, orsamentu
orsamentu, ne’ebé
ne’ebé, mnek
mnek, no
no, mf
mf, transfere
transfere, ba
ba, renda
renda, no
no, kustu
kustu, operasionál
operasionál, ne’e
ne’e, hamutuk
hamutuk, embaixada
embaixada, no
no, konsuladu
konsuladu, ruanulu
ruanulu, ne’ebé
ne’ebé, simu
simu, transferénsia
transferénsia, pagamentu
pagamentu, ba
ba, renda
renda, tinan
tinan, nian
nian, ne’e
ne’e, mak
mak, hanesan
hanesan, konsuladu
konsuladu, sidney
sidney, konsuladu
konsuladu, darwin
darwin, konsuladu
konsuladu, atambua
atambua, brunei
brunei, darussalam
darussalam, kamboja
kamboja, kuba
kuba, mosambike
mosambike, filipina
filipina, korea
korea, súl
súl, xina
xina, vatikanu
vatikanu, estadu
estadu, unidus
unidus, amérika
amérika, laos
laos, reinu
reinu, unidu
unidu, cplp
cplp, bruxelas
bruxelas, malázia
malázia, birmánia
birmánia, nova
nova, zelándia
zelándia, no
no, japaun
japaun, enkuantu
enkuantu, embaixada
embaixada, no
no, konsuladu
konsuladu, lima
lima, ne’ebé
ne’ebé, simu
simu, tranferénsia
tranferénsia, pagamentu
pagamentu, ba
ba, kustu
kustu, operasionál
operasionál, mak
mak, hanesan
hanesan, nova
nova, iorke
iorke, bruxelas
bruxelas, tailándia
tailándia, vietname
vietname, no
no, jénebra
jénebra, transferénsia
transferénsia, pagamentu
pagamentu, renda
renda, ba
ba, embaixada
embaixada, timor-leste
timor-leste, iha
iha, brazíl
brazíl, ba
ba, tinan
tinan, nian
nian, no
no, kustu
kustu, operasionál
operasionál, ba
ba, embaixada
embaixada, timor-leste
timor-leste, iha
iha, vatikanu
vatikanu, ba
ba, períodu
períodu, janeiru
janeiru, to’o
to’o, juñu
juñu, mnek
mnek, submete
submete, ona
ona, ba
ba, mf
mf, no
no, sei
sei, prosesa
prosesa, iha
iha, semana
semana, ida
ida, ne’e
ne’e, nia
nia, laran
laran, dili
dili, fevereiru
fevereiru, iha
iha, tinan
tinan, arkivu
arkivu, no
no, muzéu
muzéu, rezisténsia
rezisténsia, timorrense
timorrense, amrt
amrt, rekolla
rekolla, reseita
reseita, hamutuk
hamutuk, dólar
dólar, amerikanu
