id,Label,tf,df,tdf,stopword
624,valeu,2,2,4,0
625,vales,2,2,4,0
626,valeria,2,2,4,0
627,valeram,1,1,1,0
628,valer,2,2,4,0
629,valente,3,3,9,0
630,valemos,2,2,4,0
631,valem,8,7,56,0
632,valeis,1,1,1,0
633,vale,42,41,1722,0
634,vais,9,8,72,0
635,vaidoso,1,1,1,0
636,vaidade,1,1,1,0
637,vai,604,571,344884,0
638,vagueavam,1,1,1,0
639,vagaroso,1,1,1,0
640,vadiando,1,1,1,0
641,vacinada,1,1,1,0
642,vacilou,1,1,1,0
643,vacilar,1,1,1,0
644,vacas,4,3,12,0
645,va,7,7,49,0
646,uzias,3,3,9,0
647,uvas,3,3,9,0
648,utilizavam,1,1,1,0
649,utilizaram,2,2,4,0
650,utilizar,2,2,4,0
651,utilizam,2,2,4,0
652,utilizados,1,1,1,0
653,utilidade,1,1,1,0
654,utensílios,2,2,4,0
655,utensílio,1,1,1,0
656,usávamos,5,5,25,0
657,usámos,1,1,1,0
658,usurpação,2,2,4,0
659,usufruir,1,1,1,0
660,usseni,1,1,1,0
661,usou,35,34,1190,0
662,usos,3,3,9,0
663,uso,54,52,2808,0
664,usemos,5,5,25,0
665,usem,2,2,4,0
666,use,12,12,144,0
667,usavam,3,3,9,0
668,usava,12,12,144,0
669,usassem,1,1,1,0
670,usasse,2,2,4,0
671,usarão,2,2,4,0
672,usarmos,6,6,36,0
673,usariam,1,1,1,0
674,usaremos,2,2,4,0
675,usarem,2,2,4,0
676,usaram,1,1,1,0
677,usar,107,104,11128,0
678,usando,23,23,529,0
679,usamos,13,13,169,0
680,usam,12,12,144,0
681,usados,15,15,225,0
682,usado,11,11,121,0
683,usadas,1,1,1,0
684,usada,16,16,256,0
685,usa,47,47,2209,0
686,urso,3,3,9,0
687,urna,1,1,1,0
688,urinar,1,1,1,0
689,urias,6,4,24,0
690,urgência,4,4,16,0
691,urgente,6,5,30,0
692,urge,1,1,1,0
693,urbanos,2,2,4,0
694,urbano,1,1,1,0
695,ur,7,7,49,0
696,unção,31,28,868,0
697,unânimes,1,1,1,0
698,unânime,1,1,1,0
699,uns,238,219,52122,0
700,união,185,164,30340,0
701,universo,16,16,256,0
702,universitário,1,1,1,0
703,universidade,2,2,4,0
704,universal,6,6,36,0
705,uniu,5,5,25,0
706,unirmos,1,1,1,0
707,unirem,1,1,1,0
708,uniram,1,1,1,0
709,unir,3,3,9,0
710,unigênito,10,10,100,0
711,unigénito,2,2,4,0
712,unificação,1,1,1,0
713,unificados,1,1,1,0
714,unificador,4,4,16,0
715,unificado,8,8,64,0
716,unifica,4,4,16,0
717,unidos,71,67,4757,0
718,unido,13,13,169,0
719,unidas,15,15,225,0
720,unidamente,1,1,1,0
721,unidade,22,19,418,0
722,unida,21,20,420,0
723,unicamente,7,7,49,0
724,uniam,1,1,1,0
725,unia,1,1,1,0
726,uni,1,1,1,0
727,ungiu,9,8,72,0
728,ungir,3,3,9,0
729,ungindo,1,1,1,0
730,ungidos,233,217,50561,0
731,ungido,72,71,5112,0
732,ungidas,7,5,35,0
733,ungida,4,4,16,0
734,unem,3,3,9,0
735,une,10,10,100,0
736,unam,2,2,4,0
737,umidade,2,2,4,0
738,umas,11,11,121,0
739,uma,2248,1973,4435304,1
740,um,3321,2801,9302121,1
741,ultrapassar,1,1,1,0
742,ultrajado,1,1,1,0
743,ultimamente,2,2,4,0
744,uganda,2,2,4,0
745,ucrânia,2,2,4,0
746,túnicas,1,1,1,0
747,túnica,8,8,64,0
748,túmulos,9,9,81,0
749,túmulo,17,16,272,0
750,tíulo,1,1,1,0
751,títulos,3,3,9,0
752,título,12,11,132,0
753,tíquico,19,19,361,0
754,típico,1,1,1,0
755,tínhamos,23,20,460,1
756,tímidos,3,3,9,0
757,tímido,1,1,1,0
758,tímida,1,1,1,0
759,têm,351,326,114426,0
760,tém,1,1,1,1
761,técnico,4,4,16,0
762,técnica,1,1,1,0
763,tão,156,151,23556,0
764,táticas,2,2,4,0
765,tártaro,1,1,1,0
766,társis,1,1,1,0
767,tácito,1,1,1,0
768,tábuas,8,5,40,0
769,tábua,1,1,1,0
770,tutsi,1,1,1,0
771,tutores,1,1,1,0
772,tutor,7,7,49,0
773,turnos,1,1,1,0
774,turno,1,1,1,0
775,turma,5,5,25,0
776,turistas,2,2,4,0
777,tupure,1,1,1,0
778,tumultos,2,2,4,0
779,tumor,1,1,1,0
780,tulipas,1,1,1,0
781,tudo,471,431,203001,0
782,tuas,27,26,702,1
783,tua,157,142,22294,1
784,tu,155,140,21700,1
785,tsunamis,4,4,16,0
786,tsunami,2,2,4,0
787,trófimo,1,1,1,0
788,tróade,2,2,4,0
789,trêsvezes,1,1,1,0
790,três,196,182,35672,0
791,trêmulo,4,4,16,0
792,trémula,1,1,1,0
793,trânsito,3,3,9,0
794,trás,32,32,1024,0
795,trágicos,1,1,1,0
796,trágico,2,2,4,0
797,trágica,2,2,4,0
798,trovões,11,10,110,0
799,trovão,3,3,9,0
800,troveja,2,2,4,0
801,trouxessem,1,1,1,0
802,trouxesse,2,2,4,0
803,trouxeram,12,12,144,0
804,trouxer,2,2,4,0
805,trouxemos,2,2,4,0
806,trouxe,19,19,361,0
807,trophim,1,1,1,0
808,tropeçou,2,2,4,0
809,tropeço,22,19,418,0
810,tropeçarão,3,3,9,0
811,tropeçarei,1,1,1,0
812,tropeçaram,2,2,4,0
813,tropeçar,21,20,420,0
814,tropeçamos,3,3,9,0
815,tropeçam,2,2,4,0
816,tropeça,4,4,16,0
817,tropeces,1,1,1,0
818,tropecem,2,2,4,0
819,tropas,3,3,9,0
820,tropa,1,1,1,0
821,tronos,9,9,81,0
822,trono,57,51,2907,0
823,tronco,2,2,4,0
824,trombeteiros,1,1,1,0
825,trombetas,4,4,16,0
826,trombeta,24,24,576,0
827,trocando,2,2,4,0
828,trocamos,3,3,9,0
829,trocados,1,1,1,0
830,troca,16,16,256,0
831,triunfou,1,1,1,0
832,triunfal,1,1,1,0
833,triunfa,1,1,1,0
834,tristonho,1,1,1,0
835,tristezas,3,3,9,0
836,tristeza,23,22,506,0
837,tristes,28,28,784,0
838,triste,37,36,1332,0
839,tripulação,2,2,4,0
840,trinta,4,4,16,0
841,trinidad,1,1,1,0
842,trigo,25,20,500,0
843,trifosa,1,1,1,0
844,trifena,1,1,1,0
845,tributos,2,2,4,0
846,tributo,3,2,6,0
847,tribunal,15,13,195,0
848,tribunais,7,7,49,0
849,tribulações,9,9,81,0
850,tribulação,70,69,4830,0
851,tribubunal,1,1,1,0
852,tribos,50,43,2150,0
853,tribo,24,23,552,0
854,tribais,1,1,1,0
855,trevas,7,6,42,0
856,trespassaram,1,1,1,0
857,trepe,1,1,1,0
858,tremor,4,4,16,0
859,tremia,1,1,1,0
860,tremer,5,5,25,0
861,tremendo,2,2,4,0
862,treme,2,2,4,0
863,trem,4,4,16,0
864,treinou,2,2,4,0
865,treino,1,1,1,0
866,treinem,2,2,4,0
867,treine,4,4,16,0
868,treinar,36,35,1260,0
869,treinando,1,1,1,0
870,treinamentos,1,1,1,0
871,treinamento,20,20,400,0
872,treinados,5,5,25,0
873,treinado,2,2,4,0
874,treinada,3,3,9,0
