id,Label,tf,df,tdf
848,torneira,1,1,1
849,moldajen,1,1,1
850,gregorio,1,1,1
851,harame,3,1,3
852,tarefa,2,1,2
853,asesu,93,1,93
854,hola,16,1,16
855,desizivu,1,1,1
856,kapitaun,4,1,4
857,sustentasaun,1,1,1
858,kordena,2,1,2
859,falintil-forsa,10,1,10
860,pakote,8,1,8
861,tanke,8,1,8
862,kanalizasaun,8,1,8
863,kompleta,33,1,33
864,lino,11,1,11
865,ezersísiu,12,1,12
866,cobra,3,1,3
867,lívia,1,1,1
868,transferénsia,11,1,11
869,media,2,1,2
870,média,1,1,1
871,informasaun,92,1,92
872,eziste,11,1,11
873,ezije,9,1,9
874,utiliza,30,1,30
875,asosiasaun,17,1,17
876,realsa,6,1,6
877,rádiu,25,1,25
878,komunikasaun,45,1,45
879,programasaun,1,1,1
880,kria,36,1,36
881,konstitusionál,7,1,7
882,presiza,114,1,114
883,progresu,16,1,16
884,domingos,14,1,14
885,sekretária,6,1,6
886,sesta-feira,2,1,2
887,responsabilidade,20,1,20
888,josé,46,1,46
889,reestruturasaun,3,1,3
890,responde,18,1,18
891,mudansa,11,1,11
892,eis,4,1,4
893,rodrigues,4,1,4
894,reestrutura,1,1,1
895,rekomenda,22,1,22
896,konsidera,37,1,37
897,hadi'a,5,1,5
898,prontu,17,1,17
899,sosiál,69,1,69
900,fundu,47,1,47
901,sosializasaun,8,1,8
902,ezisténsia,7,1,7
903,loloos,35,1,35
904,kestaun,7,1,7
905,divulga,44,1,44
906,i,11,1,11
907,estrutura,9,1,9
908,sekoms,29,1,29
909,dnpdml,1,1,1
910,aprende,19,1,19
911,agradesimentu,24,1,24
912,halakon,8,1,8
913,romaldo,2,1,2
914,diskursu,27,1,27
915,difisil,5,1,5
916,antónio,25,1,25
917,marka,36,1,36
918,asuntu,54,1,54
919,esperansa,9,1,9
920,partisipa,72,1,72
921,amaral,9,1,9
922,martinho,2,1,2
923,ita-boot,44,1,44
924,martins,16,1,16
925,pereira,18,1,18
926,hakerek,6,1,6
927,fahe,44,1,44
928,lian,19,1,19
929,krize,54,1,54
930,mapkoms,11,1,11
931,terenu,17,1,17
932,maske,34,1,34
933,ami-nia,45,1,45
934,serka,60,1,60
935,nova,11,1,11
936,jerónimo,9,1,9
937,sufisiente,25,1,25
938,konfinamentu,38,1,38
939,ceftec,3,1,3
940,formandu,7,1,7
941,relasaun,13,1,13
942,imprensa,118,1,118
943,obrigatóriu,21,1,21
944,impoin,20,1,20
945,multimedia,3,1,3
946,kursu,9,1,9
947,esklarese,5,1,5
948,fransisco,1,1,1
949,televizaun,6,1,6
950,munisipál,23,1,23
951,rohan,6,1,6
